id	type	contextId	activityId	entityType	entityId
400000880	Suspect	300000097	100000439	Person	500001304
400000879	Witness	300000097	100000439	Person	500000692
400000876	Suspect	300000097	100000438	Person	500001302
400000878	Offender	300000097	100000439	Person	500001303
400000881	Suspect	300000097	100000440	Person	500000945
400000877	Suspect	300000097	100000438	Person	500001011
400000873	Victim	300000096	100000437	Association	200000009
400000874	Suspect	300000096	100000437	Person	500001301
400000871	Offender	300000096	100000436	Person	500000611
400000870	Suspect	300000096	100000435	Person	500001206
400000872	Witness	300000096	100000436	Association	200000005
400000875	Offender	300000096	100000437	Person	500001055
400000869	Witness	300000096	100000435	Person	500001297
400000898	Offender	300000099	100000451	Association	200000014
400000893	Suspect	300000099	100000448	Person	500001307
400000895	Suspect	300000099	100000449	Person	500000507
400000889	Victim	300000099	100000445	Person	500001306
400000887	Victim	300000099	100000444	Person	500000545
400000892	Suspect	300000099	100000447	Person	500000297
400000897	Victim	300000099	100000450	Person	500000805
400000891	Witness	300000099	100000447	Person	500000008
400000894	Victim	300000099	100000448	Association	200000012
400000896	Witness	300000099	100000449	Person	500000493
400000888	Victim	300000099	100000444	Person	500000306
400000890	Victim	300000099	100000446	Person	500000007
400000886	Witness	300000098	100000443	Person	500001305
400000885	Suspect	300000098	100000443	Association	200000017
400000883	Witness	300000098	100000442	Association	200000011
400000884	Victim	300000098	100000443	Person	500001094
400000882	Victim	300000098	100000441	Person	500000115
400000592	Victim	300000065	100000299	Person	500001157
400000590	Victim	300000065	100000298	Person	500000485
400000599	Suspect	300000065	100000302	Person	500001035
400000600	Witness	300000065	100000303	Association	200000013
400000588	Suspect	300000065	100000297	Person	500000968
400000586	Witness	300000065	100000296	Person	500000169
400000596	Victim	300000065	100000301	Person	500001198
400000598	Suspect	300000065	100000302	Person	500000738
400000589	Witness	300000065	100000297	Association	200000009
400000587	Victim	300000065	100000297	Person	500000825
400000591	Suspect	300000065	100000298	Association	200000010
400000595	Witness	300000065	100000301	Person	500000891
400000594	Suspect	300000065	100000300	Person	500001197
400000597	Offender	300000065	100000301	Person	500000070
400000593	Suspect	300000065	100000300	Person	500000088
400000574	Victim	300000064	100000289	Person	500001000
400000576	Offender	300000064	100000290	Person	500000098
400000582	Witness	300000064	100000293	Person	500000239
400000581	Suspect	300000064	100000293	Person	500001149
400000575	Victim	300000064	100000290	Association	200000010
400000579	Suspect	300000064	100000291	Person	500000742
400000578	Witness	300000064	100000291	Person	500000011
400000580	Suspect	300000064	100000292	Person	500001194
400000577	Suspect	300000064	100000290	Person	500001193
400000584	Victim	300000064	100000294	Person	500000693
400000585	Offender	300000064	100000295	Person	500000252
400000583	Suspect	300000064	100000293	Person	500000983
400000618	Victim	300000067	100000311	Association	200000011
400000623	Witness	300000067	100000313	Person	500000274
400000616	Suspect	300000067	100000310	Person	500001087
400000617	Victim	300000067	100000311	Person	500001204
400000621	Suspect	300000067	100000312	Association	200000005
400000624	Witness	300000067	100000313	Person	500000346
400000620	Suspect	300000067	100000312	Person	500001116
400000615	Suspect	300000067	100000310	Person	500000269
400000619	Offender	300000067	100000312	Person	500000636
400000622	Victim	300000067	100000313	Person	500000198
400000614	Victim	300000067	100000310	Association	200000003
400000606	Witness	300000066	100000306	Person	500000419
400000608	Victim	300000066	100000308	Person	500001090
400000611	Victim	300000066	100000309	Person	500000964
400000603	Victim	300000066	100000304	Association	200000005
400000613	Offender	300000066	100000309	Person	500001020
400000602	Witness	300000066	100000304	Person	500000922
400000601	Suspect	300000066	100000304	Person	500000284
400000609	Victim	300000066	100000308	Person	500001201
400000605	Victim	300000066	100000306	Person	500000475
400000604	Suspect	300000066	100000305	Person	500000660
400000607	Offender	300000066	100000307	Association	200000008
400000610	Victim	300000066	100000308	Person	500001202
400000612	Suspect	300000066	100000309	Person	500000071
400000630	Offender	300000069	100000317	Person	500000783
400000627	Witness	300000068	100000316	Person	500000321
400000629	Suspect	300000068	100000316	Association	200000007
400000628	Offender	300000068	100000316	Person	500001175
400000625	Victim	300000068	100000314	Person	500001060
400000626	Victim	300000068	100000315	Person	500001208
400000653	Victim	300000071	100000328	Association	200000004
400000661	Victim	300000071	100000331	Person	500000425
400000655	Witness	300000071	100000329	Association	200000015
400000650	Victim	300000071	100000327	Association	200000015
400000656	Suspect	300000071	100000329	Person	500000877
400000654	Witness	300000071	100000328	Person	500000388
400000659	Victim	300000071	100000330	Association	200000014
