associationId	personId
200000011	500000158
200000011	500000267
200000011	500000795
200000011	500000553
200000011	500001037
200000011	500000424
200000011	500001295
200000011	500000462
200000011	500000596
200000011	500000867
200000011	500000665
200000011	500000437
200000011	500001311
200000011	500000388
200000011	500001043
200000011	500000094
200000011	500001028
200000011	500000883
200000011	500000405
200000011	500000693
200000011	500001319
200000011	500001072
200000011	500000782
200000011	500000870
200000011	500000371
200000011	500000692
200000011	500000967
200000011	500000932
200000011	500000349
200000011	500000924
200000010	500001187
200000010	500001038
200000010	500001092
200000010	500001287
200000010	500000634
200000010	500000574
200000010	500000016
200000010	500000089
200000010	500000888
200000010	500000501
200000010	500000048
200000010	500001297
200000010	500000237
200000010	500000659
200000010	500000825
200000009	500001190
200000009	500000027
200000009	500000682
200000009	500001331
200000009	500001263
200000009	500000007
200000009	500000848
200000009	500000216
200000009	500001099
200000009	500001204
200000009	500000811
200000009	500000383
200000009	500001212
200000009	500000588
200000009	500000969
200000009	500000427
200000009	500000599
200000009	500001148
200000009	500001188
200000009	500001247
200000009	500001262
200000009	500001014
200000009	500001330
200000009	500000723
200000009	500000749
200000009	500000446
200000009	500000680
200000009	500000140
200000009	500000806
200000009	500000252
200000009	500000660
200000009	500000695
200000009	500000227
200000009	500000671
200000009	500000300
200000009	500000092
200000009	500001165
200000009	500001009
200000009	500000531
200000009	500001108
200000009	500001103
200000009	500001332
200000008	500001075
200000008	500000111
200000008	500000274
200000008	500000805
200000008	500000821
200000008	500000643
200000008	500000352
200000008	500000396
200000008	500000283
200000008	500000943
200000008	500000291
200000008	500000578
200000008	500001155
200000008	500001085
200000008	500000183
200000008	500000968
200000008	500001224
200000008	500000458
200000008	500000069
200000008	500001207
200000008	500000337
200000008	500001203
200000008	500000882
200000008	500001000
200000008	500000460
200000008	500000034
200000008	500000930
200000008	500000689
200000008	500000170
200000008	500000200
200000008	500000810
200000008	500000671
200000008	500000563
200000008	500001315
200000008	500000418
200000008	500000747
200000008	500000459
200000008	500000370
200000008	500000309
200000008	500000222
200000008	500000095
200000008	500000686
200000008	500000927
200000008	500001192
200000008	500000510
200000008	500000323
200000008	500000220
200000008	500000596
200000008	500000499
200000008	500000951
200000008	500000419
200000008	500001297
200000008	500001111
200000008	500001148
200000008	500000393
200000008	500000655
200000008	500001238
200000008	500001054
200000008	500000398
200000008	500000315
200000008	500001044
200000008	500001285
200000008	500000269
200000008	500001087
200000008	500001250
200000008	500000172
200000008	500000625
200000008	500000493
200000008	500000361
200000008	500000959
200000008	500001016
200000008	500000006
200000008	500000799
200000008	500000674
200000008	500000621
200000008	500000231
200000008	500000129
200000008	500000297
200000008	500000259
200000012	500000217
200000012	500000954
200000012	500001323
200000012	500000939
200000012	500000172
200000012	500001012
200000012	500000587
200000012	500000089
200000012	500000434
200000012	500000733
200000012	500000718
200000012	500000203
200000012	500000642
200000012	500000251
200000012	500001322
200000012	500000344
200000012	500001152
200000012	500000713
200000012	500000582
200000003	500000256
200000003	500000052
200000003	500001012
200000003	500000819
200000003	500000572
200000003	500000578
200000003	500000002
200000003	500000495
200000003	500000423
200000003	500000042
200000003	500000837
200000003	500000945
200000003	500001154
200000003	500000024
200000003	500000094
200000003	500000940
200000003	500000023
200000003	500000110
